,macro,iteration,value,n,n_cumsum,cost_cumsum
429,26,13,1.9486737251281738,6.0,65.0,46.5
430,26,14,1.943246603012085,7.0,72.0,51.0
431,26,15,1.9454504251480103,1.0,73.0,52.5
432,27,0,1.6124646663665771,0.0,0.0,0.0
433,27,1,1.7206058502197266,3.0,3.0,3.5
434,27,2,1.7614394426345825,4.0,7.0,6.5
435,27,3,1.9006240367889404,4.0,11.0,9.5
436,27,4,1.9463825225830078,5.0,16.0,13.0
437,27,5,1.951430082321167,5.0,21.0,16.5
438,27,6,1.9542129039764404,5.0,26.0,20.0
439,27,7,1.9476125240325928,7.0,33.0,24.5
440,27,8,1.9416940212249756,4.0,37.0,27.5
441,27,9,1.9434528350830078,6.0,43.0,31.5
442,27,10,1.953578233718872,7.0,50.0,36.0
443,27,11,1.9549105167388916,10.0,60.0,42.0
444,27,12,1.9549784660339355,10.0,70.0,48.0
445,27,13,1.955016016960144,9.0,79.0,53.5
446,27,14,1.954969882965088,8.0,87.0,58.5
447,27,15,1.9547204971313477,1.0,88.0,60.0
448,28,0,1.6640489101409912,0.0,0.0,0.0
449,28,1,1.764559268951416,3.0,3.0,3.5
450,28,2,1.763472318649292,3.0,6.0,6.0
451,28,3,1.7229576110839844,5.0,11.0,9.5
452,28,4,1.7102481126785278,4.0,15.0,12.5
453,28,5,1.9103877544403076,6.0,21.0,16.5
454,28,6,1.8993817567825317,4.0,25.0,19.5
455,28,7,1.8925228118896484,7.0,32.0,24.0
456,28,8,1.8963415622711182,6.0,38.0,28.0
457,28,9,1.9439010620117188,9.0,47.0,33.5
458,28,10,1.9521942138671875,6.0,53.0,37.5
459,28,11,1.9521915912628174,6.0,59.0,41.5
460,28,12,1.9538769721984863,11.0,70.0,48.0
461,28,13,1.9533405303955078,4.0,74.0,51.0
462,28,14,1.9487887620925903,6.0,80.0,55.0
463,28,15,1.953048586845398,5.0,85.0,58.5
464,29,0,1.8755321502685547,0.0,0.0,0.0
465,29,1,1.7566475868225098,3.0,3.0,3.5
466,29,2,1.8357694149017334,3.0,6.0,6.0
467,29,3,1.8070873022079468,4.0,10.0,9.0
468,29,4,1.7632567882537842,4.0,14.0,12.0
469,29,5,1.7690765857696533,5.0,19.0,15.5
